zh-TW | zh | TW |  | Chinese (Taiwan) | Chinese | Taiwan |  | TWD
上午 | 下午
一月 | 二月 | 三月 | 四月 | 五月 | 六月 | 七月 | 八月 | 九月 | 十月 | 十一月 | 十二月
一月 | 二月 | 三月 | 四月 | 五月 | 六月 | 七月 | 八月 | 九月 | 十月 | 十一月 | 十二月
星期日 | 星期一 | 星期二 | 星期三 | 星期四 | 星期五 | 星期六
星期日 | 星期一 | 星期二 | 星期三 | 星期四 | 星期五 | 星期六
yyyy/M/d | yyyy/M/d | yyyy'年'M'月'd'日'
a h:mm | a hh:mm:ss | ahh'時'mm'分'ss'秒'
#,##0 | #,##0.### | #,##0% | ¤#,##0.00

und |  |  |  |  |  |  | 
NZD | 554 | 紐西蘭幣 | NZD | 2
PTE | 620 | 葡萄牙埃斯庫多 | PTE | 0
LBP | 422 | 黎巴嫩鎊 | LBP | 2
XBD | 958 | 歐洲會計單位 (XBD) | XBD | -1
MWK | 454 | 馬拉維克瓦查 | MWK | 2
TND | 788 | 突尼西亞第納爾 | TND | 3
ROL | 946 | 旧罗马尼亚列伊 | ROL | 2
GEL | 981 | 喬治拉里 | GEL | 2
IRR | 364 | 伊朗里亞爾 | IRR | 2
LTL | 440 | 立陶宛里塔 | LTL | 2
VND | 704 | 越南盾 | VND | 0
XPD | 964 | 钯 | XPD | -1
BBD | 52 | 巴貝多元 | BBD | 2
QAR | 634 | 卡達爾里亞爾 | QAR | 2
CUC | 931 | 古巴可轉換披索 | CUC | 2
SYP | 760 | 敘利亞鎊 | SYP | 2
XTS | 963 | XTS | XTS | -1
CSD | 891 | 旧塞尔维亚第纳尔 | CSD | 2
XCD | 951 | 格瑞那達元 | XCD | 2
ILS | 376 | 以色列新謝克爾 | ILS | 2
KMF | 174 | 科摩羅法郎 | KMF | 0
PHP | 608 | 菲律賓披索 | PHP | 2
CLF | 990 | 卡林油達佛曼跎 | CLF | 0
SAR | 682 | 沙烏地里雅 | SAR | 2
BGL | 100 | 保加利亞硬列弗 | BGL | 2
IQD | 368 | 伊拉克第納爾 | IQD | 3
LRD | 430 | 賴比瑞亞元 | LRD | 2
LKR | 144 | 斯里蘭卡盧布 | LKR | 2
PLN | 985 | 波蘭茲羅提 | PLN | 2
SSP | 728 | South Sudanese Pound | SSP | 2
ANG | 532 | 古英文 | ANG | 2
AED | 784 | 阿拉伯聯合大公國迪爾汗 | AED | 2
GWP | 624 | 幾內亞比索披索 | GWP | 2
RON | 946 | 羅馬尼亞列伊 | RON | 2
CZK | 203 | 捷克克朗 | CZK | 2
SRG | 740 | 蘇利南基爾 | SRG | 2
DEM | 276 | 德國馬克 | DEM | 2
FKP | 238 | 福克蘭群島鎊 | FKP | 2
MKD | 807 | 馬其頓第納爾 | MKD | 2
BTN | 64 | 不丹努扎姆 | BTN | 2
TRL | 792 | 土耳其里拉 | TRL | 0
AYM | 945 | AYM | AYM | 2
CYP | 196 | 賽普勒斯鎊 | CYP | 2
MTL | 470 | 馬爾他里拉 | MTL | 2
NLG | 528 | 荷蘭盾 | NLG | 2
MZN | 943 | 莫三比克美提卡 | MZN | 2
CLP | 152 | 智利披索 | CLP | 0
HRK | 191 | 克羅地亞庫納 | HRK | 2
UAH | 980 | 烏克蘭格里夫那 | UAH | 2
BWP | 72 | 波札那普拉 | BWP | 2
ITL | 380 | 義大利里拉 | ITL | 0
KPW | 408 | 北韓圜 | KPW | 2
DJF | 262 | 吉布地法郎 | DJF | 0
HTG | 332 | 海地古德 | HTG | 2
DOP | 214 | 多明尼加披索 | DOP | 2
XPT | 962 | 铂 | XPT | -1
TJS | 972 | 塔吉克斯坦索莫尼 | TJS | 2
